total words: 10049, frequent words (> 100): 1273, cutoff: 0.002
top words: 20, super top words: 2, cutoff: 0.1
#POLYSEMOUS TERMS
	[ABORTUS, Assessment_Section, Percent_Unit, Androgen_Response_Element, Abortus, Left_Arm]
Segments, Anterior Eye	Anterior_Eye_Segment
Eye Segments, Anterior	Anterior_Eye_Segment
Anterior Eye Segments	Anterior_Eye_Segment
Segmentum anterius (Bulbus oculi)	Anterior_Eye_Segment
Eye anterior segment:Finding:Point in time:^Patient:Narrative	Anterior_Eye_Segment
Segment, Anterior Eye	Anterior_Eye_Segment
Eye Segment, Anterior	Anterior_Eye_Segment
Eye anterior segment Narrative	Anterior_Eye_Segment
Iraqi (ethnic group)	Iraqi
Paget Disease	Paget_Disease
Pagets Disease, Bone	Paget_Disease
Osteitis deformans NOS	Paget_Disease
Paget's Disease of Bone	Paget_Disease
Paget Disease, Bone	Paget_Disease
bone Paget's disease	Paget_Disease
Bone Paget's Disease	Paget_Disease
Paget's disease (bone)	Paget_Disease
PDB	Paget_Disease
Paget Disease of Bone	Paget_Disease
Paget's Disease	Paget_Disease
Osteitis Deformans	Paget_Disease
Osteitis deformans [Paget's disease of bone]	Paget_Disease
Paget's disease of bone, unspecified	Paget_Disease
Paget's Disease of the Bone	Paget_Disease
Paget's disease of bone [osteitis deformans]	Paget_Disease
PAGET DISEASE, BONE	Paget_Disease
Paget's Cell Neoplasm	Paget_Disease
Osteitis deformans (disorder)	Paget_Disease
Pagets Disease (Bone)	Paget_Disease
Osteitis Deformans [Disease/Finding]	Paget_Disease
Paget Cell Neoplasm	Paget_Disease
Bone Paget Disease	Paget_Disease
bone Paget disease	Paget_Disease
osseous Paget's disease	Paget_Disease
Osseous Paget's Disease	Paget_Disease
Aleutian Islander	Aleutian_Islander
Aleutian Islands	Aleutian_Islander
Sand Hill	Sand_Hill
Sand Hill race	Sand_Hill
Vaginal Epithelium	Vaginal_Epithelium
Tail of the Epididymis	Tail_of_the_Epididymis
Descemet's Membrane	Descemet_s_Membrane
Elastica Posteriors, Lamina	Descemet_s_Membrane
Posteriors, Lamina Elastica	Descemet_s_Membrane
Membranes, Descemet	Descemet_s_Membrane
Membrane, Descemet's	Descemet_s_Membrane
Posterior, Lamina Elastica	Descemet_s_Membrane
Structure of Descemet membrane	Descemet_s_Membrane
Membrane, Descemet	Descemet_s_Membrane
Lamina Elastica Posteriors	Descemet_s_Membrane
Descemet Membrane	Descemet_s_Membrane
Structure of Descemet's membrane (body structure)	Descemet_s_Membrane
Descemet Membranes	Descemet_s_Membrane
Descemets Membrane	Descemet_s_Membrane
Lamina Elastica Posterior	Descemet_s_Membrane
Elastica Posterior, Lamina	Descemet_s_Membrane
Structure of Descemet's membrane	Descemet_s_Membrane
T1a2 Stage Finding	T1a2_Stage_Finding
Tumor stage T1a2	T1a2_Stage_Finding
Tumour stage T1a2	T1a2_Stage_Finding
Tumor stage T1a2 (finding)	T1a2_Stage_Finding
Long Island	Long_Island
RaceAmericanIndianLongIsland	Long_Island
Long Island race	Long_Island
Doyon Indians	Doyon
Spinal Nerve	Spinal_Nerve
Spinal nerve structure (body structure)	Spinal_Nerve
Spinal Roots	Spinal_Nerve
Spinal Nerves	Spinal_Nerve
Nerve, Spinal	Spinal_Nerve
NERVE, SPINAL	Spinal_Nerve
Nerves, Spinal	Spinal_Nerve
Spinal nerve, NOS	Spinal_Nerve
Entire spinal nerve (body structure)	Spinal_Nerve
Superficial Fascia	Superficial_Fascia
Tissues, Subcutaneous	Superficial_Fascia
Fascia, Superficial	Superficial_Fascia
Subcutaneous Adipose Tissue	Superficial_Fascia
Subcutaneous tissue, NOS	Superficial_Fascia
Tissue, Subcutaneous	Superficial_Fascia
Subcutaneous Tissue	Superficial_Fascia
Subcutaneous tissue structure (body structure)	Superficial_Fascia
Tela Subcutanea	Superficial_Fascia
Subcutaneous Tissues	Superficial_Fascia
TP53 Gene Mutation	TP53_Gene_Mutation
p53 Mutation	TP53_Gene_Mutation
Pyloric Gland	Pyloric_Gland
Pyloric Glands	Pyloric_Gland
Glands, Pyloric	Pyloric_Gland
Gland, Pyloric	Pyloric_Gland
Entire pyloric gland (body structure)	Pyloric_Gland
Structure of pyloric gland (body structure)	Pyloric_Gland
Common Bony Limb	Common_Bony_Limb
TMAX	MaxTemperature_Section
Bone structure of scapula (body structure)	Scapula
Shoulder Blade	Scapula
BONE, SCAPULA	Scapula
Entire scapula (body structure)	Scapula
VOMER	Vomer
Entire vomer bone (body structure)	Vomer
Vomer bone structure (body structure)	Vomer
Pars ossea (Septum nasi)	Vomer
Mycosis Fungoides	Mycosis_Fungoides
MF - Mycosis fungoides	Mycosis_Fungoides
Mycosis fungoides, unspecified site	Mycosis_Fungoides
MF	Mycosis_Fungoides
Mycosis fungoides (clinical)	Mycosis_Fungoides
Mycosis Fungoides [Disease/Finding]	Mycosis_Fungoides
Cutaneous T-cell lymphoma/Mycosis fungoides	Mycosis_Fungoides
Mycosis fungoides (disorder)	Mycosis_Fungoides
CTCL/ Mycosis fungoides	Mycosis_Fungoides
Mycosis fungoides (morphologic abnormality)	Mycosis_Fungoides
GRANULOMA, FUNGOIDES	Mycosis_Fungoides
Mycosis fungoides NOS	Mycosis_Fungoides
Soft Tissue	Soft_Tissue
Soft tissue (navigational concept)	Soft_Tissue
SoftTissueRoute	Soft_Tissue
Soft tissues (body structure)	Soft_Tissue
Soft Tissue Route of Drug Administration	Soft_Tissue
Soft Tissue Route of Administration	Soft_Tissue
12 o'clock position	12_o_clock_position
12 o'clock	12_o_clock_position
12 o clock	12_o_clock_position
Liver Acinus	Liver_Acinus
Structure of hepatic acinus (body structure)	Liver_Acinus
Lingual Tonsil	Lingual_Tonsil
Lingual tonsil structure (body structure)	Lingual_Tonsil
Entire lingual tonsil (body structure)	Lingual_Tonsil
TONSIL, LINGUAL	Lingual_Tonsil
Male Gender	Male_Gender
Male Gender, Self Report	Male_Gender
Male Gender, Self Reported	Male_Gender
MAN	Male_Gender
Male Gender [Disease/Finding]	Male_Gender
Male (finding)	Male_Gender
Human Males	Male_Gender
MALE	Male_Gender
Male structure (body structure)	Male_Gender
Sex Male	Male_Gender
Vascular Smooth Muscle Tissue	Vascular_Smooth_Muscle_Tissue
Sheath of Schwann	Sheath_of_Schwann
4q13-q21	4q13-q21
Episode Annotation	EpisodeAnnotation
Anal Extramucosal	Anal_Extramucosal
Facet Joint	Facet_Joint
Joints, Facet	Facet_Joint
Joint, Facet	Facet_Joint
Zygapophyseal Joint	Facet_Joint
Entire zygapophyseal joint (body structure)	Facet_Joint
Zygapophysial Joints	Facet_Joint
Zygapophysial Joint	Facet_Joint
Facet Joints	Facet_Joint
Joints, Zygapophysial	Facet_Joint
Joint, Zygapophysial	Facet_Joint
Zygapophyseal joint structure (body structure)	Facet_Joint
Joints, Zygapophyseal	Facet_Joint
Joint, Zygapophyseal	Facet_Joint
Zygapophyseal Joints	Facet_Joint
Ampullary Crest	Ampullary_Crest
Structure of crista ampullaris (body structure)	Ampullary_Crest
Ampullari, Crista	Ampullary_Crest
Crista Ampullari	Ampullary_Crest
Cristae Ampullaris	Ampullary_Crest
Crest, Ampullary	Ampullary_Crest
Crests, Ampullary	Ampullary_Crest
Crista Ampullaris	Ampullary_Crest
Ampullaris, Crista	Ampullary_Crest
Ampullary Crests	Ampullary_Crest
Burt Lake Chippewa	Burt_Lake_Chippewa
Burt Lake Chippewa Indians	Burt_Lake_Chippewa
Hypothalamohypophyseal Portal System	Hypothalamohypophyseal_Portal_System
Alutiiq Aleut	Alutiiq_Aleut
RaceAlaskanNativeAleutAlutiiq	Alutiiq_Aleut
Alutiiq Aleut Alaska Natives	Alutiiq_Aleut
Brain White Matter	Brain_White_Matter
Pilot Station	Pilot_Station
Pilot Station Eskimos	Pilot_Station
Cuban or Cuban American	Cuban_or_Cuban_American
Androgen Therapy	Androgen_Therapy
therapy, androgen	Androgen_Therapy
Gonadotropin-Producing Pituitary Gland Adenoma	Gonadotropin_Producing_Pituitary_Gland_Adenoma
Gonadotropin Secreting Pituitary Gland Adenoma	Gonadotropin_Producing_Pituitary_Gland_Adenoma
Gonadotropin Producing Pituitary Gland Adenoma	Gonadotropin_Producing_Pituitary_Gland_Adenoma
Lip Squamous Cell Carcinoma	Lip_Squamous_Cell_Carcinoma
Squamous cell carcinoma of lip (disorder)	Lip_Squamous_Cell_Carcinoma
SCC of the Lip	Lip_Squamous_Cell_Carcinoma
SCC of Lip	Lip_Squamous_Cell_Carcinoma
Lip SCC	Lip_Squamous_Cell_Carcinoma
Squamous Cell Carcinoma of the Lip	Lip_Squamous_Cell_Carcinoma
Squamous Cell Carcinoma of Lip	Lip_Squamous_Cell_Carcinoma
SCC - Squamous cell carcinoma of lip	Lip_Squamous_Cell_Carcinoma
Scanning Proton Beam Therapy	Scanning_Proton_Beam_Therapy
Pulmonary Lobule	Pulmonary_Lobule
Entire pulmonary acinus (body structure)	Pulmonary_Lobule
Breast Imaging Study	Breast_Imaging_Study
Ethmoid Bone	Ethmoid_Bone
Bone, Ethmoid	Ethmoid_Bone
Bones, Ethmoid	Ethmoid_Bone
Entire ethmoid bone (body structure)	Ethmoid_Bone
Ethmoid bone structure (body structure)	Ethmoid_Bone
Ethmoid Bones	Ethmoid_Bone
Dental-Enamel Junction	Dental-Enamel_Junction
Renal Afferent Vessel	Renal_Afferent_Vessel
Cervical Curve	Cervical_Curve
Respiratory Bronchiole	Respiratory_Bronchiole
Bronchiolitis (disorder)	Respiratory_Bronchiole
Bronchioles, Respiratory	Respiratory_Bronchiole
Entire respiratory bronchiole (body structure)	Respiratory_Bronchiole
Respiratory Bronchioles	Respiratory_Bronchiole
Bronchiolitis [Disease/Finding]	Respiratory_Bronchiole
Structure of respiratory bronchiole (body structure)	Respiratory_Bronchiole
Bronchiole, Respiratory	Respiratory_Bronchiole
Stewart Indians	Stewart
Pyramid Lake	Pyramid_Lake
Pyramid Lake race	Pyramid_Lake
Familial Waldenstrom Macroglobulinemia	Familial_Waldenstrom_Macroglobulinemia
Familial Waldenstrom's Macroglobulinaemia	Familial_Waldenstrom_Macroglobulinemia
Familial Waldenstroms Macroglobulinaemia	Familial_Waldenstrom_Macroglobulinemia
Ko(b) antigen, human	Familial_Waldenstrom_Macroglobulinemia
Waldenström macroglobulinemia, familial	Familial_Waldenstrom_Macroglobulinemia
Familial Waldenstrom Macroglobulinaemia	Familial_Waldenstrom_Macroglobulinemia
familial Waldenström macroglobulinemia	Familial_Waldenstrom_Macroglobulinemia
2a alloantigen, human	Familial_Waldenstrom_Macroglobulinemia
HPA-2a antigen, human	Familial_Waldenstrom_Macroglobulinemia
Macroglobulinaemia, Familial Waldenstrom's	Familial_Waldenstrom_Macroglobulinemia
Waldenstrom's Macroglobulinaemia, Familial	Familial_Waldenstrom_Macroglobulinemia
Sphincter of Oddi	Sphincter_of_Oddi
Glisson's Sphincter	Sphincter_of_Oddi
Oddi's Sphincter	Sphincter_of_Oddi
Cardiac Valve	Cardiac_Valve
Valve, Heart	Cardiac_Valve
Heart Valve Prostheses	Cardiac_Valve
Heart Valves	Cardiac_Valve
Heart Valve Prosthesis	Cardiac_Valve
Cardiac valve prosthesis, device (physical object)	Cardiac_Valve
Valve, Cardiac	Cardiac_Valve
VALVE, CARDIAC	Cardiac_Valve
Heart Valve	Cardiac_Valve
Valves, Heart	Cardiac_Valve
Valves, Cardiac	Cardiac_Valve
Valve Prostheses, Cardiac	Cardiac_Valve
Prostheses, Cardiac Valve	Cardiac_Valve
VALVE, PROSTHESIS	Cardiac_Valve
Cardiac valve prosthesis, device	Cardiac_Valve
Prosthesis, Heart Valve	Cardiac_Valve
Valve Prosthesis, Heart	Cardiac_Valve
Cardiac valve structure (body structure)	Cardiac_Valve
Prostheses, Heart Valve	Cardiac_Valve
Valve Prostheses, Heart	Cardiac_Valve
Cardiac Valve Prostheses	Cardiac_Valve
Cardiac Valves	Cardiac_Valve
Cardiac Valve Prosthesis	Cardiac_Valve
Valve Prosthesis, Cardiac	Cardiac_Valve
Prosthesis, Cardiac Valve	Cardiac_Valve
Corneal Squamous Cell Carcinoma	Corneal_Squamous_Cell_Carcinoma
Squamous cell carcinoma of cornea (disorder)	Corneal_Squamous_Cell_Carcinoma
Epidermoid Carcinoma of Cornea	Corneal_Squamous_Cell_Carcinoma
Cornea Squamous Cell Carcinoma	Corneal_Squamous_Cell_Carcinoma
Cornea Epidermoid Carcinoma	Corneal_Squamous_Cell_Carcinoma
Epidermoid Carcinoma of the Cornea	Corneal_Squamous_Cell_Carcinoma
Corneal Epidermoid Carcinoma	Corneal_Squamous_Cell_Carcinoma
Squamous Cell Carcinoma of Cornea	Corneal_Squamous_Cell_Carcinoma
Squamous Cell Carcinoma of the Cornea	Corneal_Squamous_Cell_Carcinoma
Common Femoral Artery	Common_Femoral_Artery
CFA - Common femoral artery	Common_Femoral_Artery
Common femoral artery (body structure)	Common_Femoral_Artery
Colorectal Squamous Cell Carcinoma	Colorectal_Squamous_Cell_Carcinoma
Well Differentiated Papillary Mesothelioma	Well_Differentiated_Papillary_Mesothelioma
Well-Differentiated Papillary Neoplasm of the Mesothelium	Well_Differentiated_Papillary_Mesothelioma
Well-Differentiated Papillary Neoplasm of Mesothelium	Well_Differentiated_Papillary_Mesothelioma
Well-Differentiated Papillary Tumor of the Mesothelium	Well_Differentiated_Papillary_Mesothelioma
Well-Differentiated Papillary Tumor of Mesothelium	Well_Differentiated_Papillary_Mesothelioma
Benign/Intermediate Mesothelioma	Well_Differentiated_Papillary_Mesothelioma
Well-Differentiated Mesothelial Papillary Neoplasm	Well_Differentiated_Papillary_Mesothelioma
Well-Differentiated Mesothelial Papillary Tumor	Well_Differentiated_Papillary_Mesothelioma
Ophthalmic Nerve	Ophthalmic_Nerve
Nervus ophthalmicus (V1)	Ophthalmic_Nerve
Nerve, Ophthalmic	Ophthalmic_Nerve
ophthalmic nerve [V1]	Ophthalmic_Nerve
Ophthalmic division [V1]	Ophthalmic_Nerve
Ophthalmic division of trigeminal nerve (V1)	Ophthalmic_Nerve
Entire ophthalmic nerve (body structure)	Ophthalmic_Nerve
Nervus ophthalmicus (Va)	Ophthalmic_Nerve
ophthalmic nerve [Va]	Ophthalmic_Nerve
Ophthalmic division [Va]	Ophthalmic_Nerve
Ophthalmic division of trigeminal nerve (Va)	Ophthalmic_Nerve
Nervus ophthalmicus [V1]	Ophthalmic_Nerve
Nerves, Ophthalmic	Ophthalmic_Nerve
Ophthalmic nerve [V1]	Ophthalmic_Nerve
ophthalmic division [V1]	Ophthalmic_Nerve
cranial nerve V1	Ophthalmic_Nerve
Nervus ophthalmicus [Va]	Ophthalmic_Nerve
CN V1	Ophthalmic_Nerve
Ophthalmic nerve [Va]	Ophthalmic_Nerve
ophthalmic division [Va]	Ophthalmic_Nerve
Ophthalmic Nerves	Ophthalmic_Nerve
Structure of ophthalmic nerve (body structure)	Ophthalmic_Nerve
Lobe of the Left Lung	Lobe_of_the_Left_Lung
6q14.1	6q14_1
6q14.3	6q14_3
Disseminated Carcinoma	Disseminated_Carcinoma
RaceAmericanIndianMaidu	Maidu
Uncertain Certainty	Uncertain_Certainty
Xq22.1	Xq22_1
Osage language (qualifier value)	Osage
Phrenic Vein	Phrenic_Vein
Xq22.2	Xq22_2
Breast Cancer pT1c TNM Finding	Breast_Cancer_pT1c_TNM_Finding
Breast Cancer pT1c TNM Finding v7	Breast_Cancer_pT1c_TNM_Finding
pT1c Cancer of the Breast v6	Breast_Cancer_pT1c_TNM_Finding
Breast Cancer pT1c TNM Finding v6	Breast_Cancer_pT1c_TNM_Finding
pT1c Cancer of Breast v6	Breast_Cancer_pT1c_TNM_Finding
pT1c	Breast_Cancer_pT1c_TNM_Finding
pT1c Breast Carcinoma v6	Breast_Cancer_pT1c_TNM_Finding
pT1c Breast Cancer v6	Breast_Cancer_pT1c_TNM_Finding
pT1c Carcinoma of the Breast v6	Breast_Cancer_pT1c_TNM_Finding
pT1c Carcinoma of Breast v6	Breast_Cancer_pT1c_TNM_Finding
Structure of acromion (body structure)	Acromion
Xq22.3	Xq22_3
Polarized Reflectance Spectroscopy	Polarized_Reflectance_Spectroscopy
Polarized Light Scattering Spectroscopy	Polarized_Reflectance_Spectroscopy
PRS	Polarized_Reflectance_Spectroscopy
Light Scattering Spectroscopy with Polarized Light	Polarized_Reflectance_Spectroscopy
Reflectance Spectroscopy with Polarized Light	Polarized_Reflectance_Spectroscopy
Central American Indian	Central_American_Indian
Central American Amerinds	Central_American_Indian
American Amerind, Central	Central_American_Indian
Indians, Central American	Central_American_Indian
Indian, Central American	Central_American_Indian
American Amerinds, Central	Central_American_Indian
Central American Amerind	Central_American_Indian
Amerinds, Central American	Central_American_Indian
American Indian, Central	Central_American_Indian
Central American Indians	Central_American_Indian
Central American Indian race	Central_American_Indian
Amerind, Central American	Central_American_Indian
American Indians, Central	Central_American_Indian
Parafascicular Nucleus of the Thalamus	Parafascicular_Nucleus_of_the_Thalamus
13q12-q13	13q12-q13
Basal Body	Basal_Body
Basal Bodies	Basal_Body
Bodies, Basal	Basal_Body
Basal body of cilium or flagellum, not bacterial	Basal_Body
Body, Basal	Basal_Body
Basal body of cilium or flagellum, not bacterial (cell structure)	Basal_Body
Distantly Metastatic Malignant Neoplasm	Distantly_Metastatic_Malignant_Neoplasm
Visceral Pleura	Visceral_Pleura
Pleura visceralis (pulmonalis)	Visceral_Pleura
Pleura, Visceral	Visceral_Pleura
Visceral pleura structure (body structure)	Visceral_Pleura
Inflammatory Myofibroblastic Tumor	Inflammatory_Myofibroblastic_Tumor
Inflammatory Myofibroblastic Neoplasm	Inflammatory_Myofibroblastic_Tumor
Inflammatory Pseudotumor	Inflammatory_Myofibroblastic_Tumor
Myofibroblastic tumor (morphologic abnormality)	Inflammatory_Myofibroblastic_Tumor
Inflammatory Fibrosarcoma	Inflammatory_Myofibroblastic_Tumor
Myofibroblastic tumor, NOS	Inflammatory_Myofibroblastic_Tumor
Inflammatory Pseudotumors	Inflammatory_Myofibroblastic_Tumor
Pseudotumor, Inflammatory	Inflammatory_Myofibroblastic_Tumor
Inflammatory pseudotumor (morphologic abnormality)	Inflammatory_Myofibroblastic_Tumor
IMT	Inflammatory_Myofibroblastic_Tumor
Pseudotumors, Inflammatory	Inflammatory_Myofibroblastic_Tumor
Vertebral Body	Vertebral_Body
Corpus vertebrae (vertebrale)	Vertebral_Body
Body of Vertebra	Vertebral_Body
Structure of body of vertebra (body structure)	Vertebral_Body
Body of the Vertebra	Vertebral_Body
Akhiok Aleuts	Akhiok
11q13.3-q13.5	11q13_3-q13_5
Sarcomatous Glioma	Gliosarcoma
Gliosarcoma [Disease/Finding]	Gliosarcoma
Gliomas, Sarcomatous	Gliosarcoma
Sarcomatous Gliomas	Gliosarcoma
gliosarcoma (WHO grade IV)	Gliosarcoma
Gliosarcoma (morphologic abnormality)	Gliosarcoma
Glioblastoma with a Sarcomatous Component	Gliosarcoma
Glioma, Sarcomatous	Gliosarcoma
Glioblastoma with Sarcomatous Component	Gliosarcoma
Posterior Infratentorial Cistern	Posterior_Infratentorial_Cistern
Red Wood	Red_Wood
Red Wood race	Red_Wood
High Grade Appendix Mucinous Adenocarcinoma	High_Grade_Appendix_Mucinous_Adenocarcinoma
Left Circumflex Artery Ostium	Left_Circumflex_Artery_Ostium
Large Cell Lung Carcinoma, Clear Cell Variant	Large_Cell_Lung_Carcinoma_Clear_Cell_Variant
Clear Cell Carcinoma of the Lung, Large Cell Type	Large_Cell_Lung_Carcinoma_Clear_Cell_Variant
Clear Cell Carcinoma of Lung, Large Cell Type	Large_Cell_Lung_Carcinoma_Clear_Cell_Variant
Clear Cell Lung Carcinoma, Large Cell Type	Large_Cell_Lung_Carcinoma_Clear_Cell_Variant
Purkinje Fiber	Purkinje_Fiber
Purkinje's fiber (heart)	Purkinje_Fiber
Structure of purkinje fibers (body structure)	Purkinje_Fiber
Purkinje system (heart)	Purkinje_Fiber
Fibers, Purkinje	Purkinje_Fiber
heart Purkinje's fiber	Purkinje_Fiber
Purkinje Fibers	Purkinje_Fiber
Eccrine Hidrocystoma	Eccrine_Hidrocystoma
Eccrine hidrocystoma of skin (disorder)	Eccrine_Hidrocystoma
Eccrine Cystadenoma	Eccrine_Hidrocystoma
C4 Vertebra	C4_Vertebra
Bone structure of C4	C4_Vertebra
Entire C4 vertebra (body structure)	C4_Vertebra
Entire C4 vertebra	C4_Vertebra
C4 VERTEBRA	C4_Vertebra
C4 vertebra	C4_Vertebra
Bone structure of C4 (body structure)	C4_Vertebra
Hand-Schuller-Christian Disease	Hand_Schuller_Christian_Disease
Hand-Schuller-Christian disease	Hand_Schuller_Christian_Disease
Hand-Schueller-Christian disease	Hand_Schuller_Christian_Disease
Langerhans cell histiocytosis, poly-ostotic	Hand_Schuller_Christian_Disease
Hand-Schuller-Christian disease [obs]	Hand_Schuller_Christian_Disease
Tanana Chiefs	Tanana_Chiefs
Tanana Chiefs Indians	Tanana_Chiefs
Psammomatous Meningioma	Psammomatous_Meningioma
Meningiomas, Psammomatous	Psammomatous_Meningioma
Psammomatous meningioma (morphologic abnormality)	Psammomatous_Meningioma
psammomatous meningioma (WHO grade I)	Psammomatous_Meningioma
Psammomatous Meningiomas	Psammomatous_Meningioma
Meningioma, Psammomatous	Psammomatous_Meningioma
Metastasizing Pleomorphic Adenoma of the Salivary Gland	Metastasizing_Pleomorphic_Adenoma_of_the_Salivary_Gland
Metastasizing Mixed Tumor of Salivary Gland	Metastasizing_Pleomorphic_Adenoma_of_the_Salivary_Gland
Metastasizing Mixed Tumor of the Salivary Gland	Metastasizing_Pleomorphic_Adenoma_of_the_Salivary_Gland
MIN	Minimum
Minimum Value Derivation Technique	Minimum
ActRelationshipSubset - minimum	Minimum
Mentasta Lake	Mentasta_Lake
Mentasta Lake Indians	Mentasta_Lake
Grade III Lymphomatoid Granulomatosis	Grade_III_Lymphomatoid_Granulomatosis
Angiocentric Immunoproliferative Lesion Grade III	Grade_III_Lymphomatoid_Granulomatosis
Grade III Angiocentric Immunoproliferative Lesion	Grade_III_Lymphomatoid_Granulomatosis
Grade III LYG	Grade_III_Lymphomatoid_Granulomatosis
Grade III Angiocentric Immunoproliferative Lesions	Grade_III_Lymphomatoid_Granulomatosis
Angiocentric immunoproliferative lesion grade 3	Grade_III_Lymphomatoid_Granulomatosis
Malignant Tenosynovial Giant Cell Tumor	Malignant_Tenosynovial_Giant_Cell_Tumor
Giant cell tumor of tendon sheath, malignant	Malignant_Tenosynovial_Giant_Cell_Tumor
Malignant Giant Cell Neoplasm of the Tendon Sheath	Malignant_Tenosynovial_Giant_Cell_Tumor
Malignant Tendon Sheath Giant Cell Tumor	Malignant_Tenosynovial_Giant_Cell_Tumor
Malignant Giant Cell Neoplasm of Tendon Sheath	Malignant_Tenosynovial_Giant_Cell_Tumor
Malignant Giant Cell Tumor of the Tendon Sheath	Malignant_Tenosynovial_Giant_Cell_Tumor
Malignant Giant Cell Tumor of Tendon Sheath	Malignant_Tenosynovial_Giant_Cell_Tumor
Giant cell tumour of tendon sheath, malignant	Malignant_Tenosynovial_Giant_Cell_Tumor
Malignant Tendon Sheath Giant Cell Neoplasm	Malignant_Tenosynovial_Giant_Cell_Tumor
Malignant tenosynovial giant cell tumor (morphologic abnormality)	Malignant_Tenosynovial_Giant_Cell_Tumor
Neuroepithelial Tissue	Neuroepithelial_Tissue
Iliac Vein	Iliac_Vein
Vein, Iliac	Iliac_Vein
Iliac vein structure (body structure)	Iliac_Vein
Iliac Veins	Iliac_Vein
Veins, Iliac	Iliac_Vein
Tanycytic Ependymoma	Tanycytic_Ependymoma
Ependymoma, tanycytic (morphologic abnormality)	Tanycytic_Ependymoma
Ependymoma, tanycytic	Tanycytic_Ependymoma
tanycytic ependymoma (WHO grade II)	Tanycytic_Ependymoma
Inferior Pancreatico-Duodenal Vein	Inferior_Pancreatico-Duodenal_Vein
4q31.23	4q31_23
Common Iliac Lymph Node	Common_Iliac_Lymph_Node
Iliac Lymph Node	Common_Iliac_Lymph_Node
Common iliac node (body structure)	Common_Iliac_Lymph_Node
Common iliac lymph node group (body structure)	Common_Iliac_Lymph_Node
Structure of iliac lymph node (body structure)	Common_Iliac_Lymph_Node
LYMPH NODE, ILIAC	Common_Iliac_Lymph_Node
Coast Yurok	Coast_Yurok
Coast Yurok Indians	Coast_Yurok
20q11.2-q13.1	20q11_2-q13_1
Intercalated Duct of the Salivary Gland System	Intercalated_Duct_of_the_Salivary_Gland_System
Moapa Fish	Moapa
Moapa Indian	Moapa
Meissner Corpuscle	Meissner_Corpuscle
Corpusculum Tactus	Meissner_Corpuscle
Meissner's corpuscle (body structure)	Meissner_Corpuscle
Corpuscle, Meissner's	Meissner_Corpuscle
Meissners Corpuscle	Meissner_Corpuscle
Meissner's Corpuscle	Meissner_Corpuscle
Tactile Corpuscle	Meissner_Corpuscle
Oval Corpuscle	Meissner_Corpuscle
Touch Corpuscle	Meissner_Corpuscle
Spermatic Vein	Spermatic_Vein
Testicular Vein	Spermatic_Vein
Structure of testicular vein (body structure)	Spermatic_Vein
Internal Spermatic Vein	Spermatic_Vein
HER2/Neu Status	HER2_Neu_Status
Her2/Neu Value	HER2_Neu_Status
ERBB2 Status	HER2_Neu_Status
HER-2/neu	HER2_Neu_Status
ERRB2	HER2_Neu_Status
Her2-Neu	HER2_Neu_Status
HER2/Neu	HER2_Neu_Status
Her2 Neu	HER2_Neu_Status
Recurrence Episode	RecurrenceEpisode
Ovarian Artery	Ovarian_Artery
Entire ovarian artery (body structure)	Ovarian_Artery
Structure of ovarian artery (body structure)	Ovarian_Artery
Mammosomatotroph Pituitary Gland Adenoma	Mammosomatotroph_Pituitary_Gland_Adenoma
Mammosomatotroph Adenoma	Mammosomatotroph_Pituitary_Gland_Adenoma
15q23-q24	15q23-q24
15q23-q25	15q23-q25
Lateral Wall of the Nasopharynx	Lateral_Wall_of_the_Nasopharynx
Lateral Wall of Nasopharynx	Lateral_Wall_of_the_Nasopharynx
Mediastinum Part	Mediastinum_Part
Yuman language (qualifier value)	Yuman
Yuman Language	Yuman
Yuman Indians	Yuman
RaceAmericanIndianYuman	Yuman
Napaskiak Eskimos	Napaskiak
Thoracic Spinal Nerve Root	Thoracic_Spinal_Nerve_Root
Entire thoracic spinal nerve root (body structure)	Thoracic_Spinal_Nerve_Root
Thoracic spinal nerve root structure (body structure)	Thoracic_Spinal_Nerve_Root
Thoracic Spinal Nerve Roots	Thoracic_Spinal_Nerve_Root
External Iliac Artery Branch	External_Iliac_Artery_Branch
Branch of external iliac artery (body structure)	External_Iliac_Artery_Branch
Outer Canthus	Outer_Canthus
ORDER	Orders_Section
Internal Ribosome Entry Site	Internal_Ribosome_Entry_Site
Ribosome Entry Site	Internal_Ribosome_Entry_Site
Internal Ribosome Entry Sites	Internal_Ribosome_Entry_Site
IRES	Internal_Ribosome_Entry_Site
Entire styloglossus muscle (body structure)	Styloglossus
Structure of styloglossus muscle (body structure)	Styloglossus
Everolimus (product)	Everolimus
Everolimus (substance)	Everolimus
RAD001	Everolimus
42-O-(2-hydroxy)ethyl rapamycin	Everolimus
42-O-(2-Hydroxy)ethyl Rapamycin	Everolimus
(1R,9S,12S,15R,16E,18R,19R,21R,23S,24E,26E,28E,30S,32S,35R)-1,18-Dihydroxy-12-((1R)-2-((1S,3R,4R)-4-(2-hydroxyethoxy)-3-methoxycyclohexyl)-1-methylethyl)-19,30-dimethoxy-15,17,21,23,29,35-hexamethyl-11,36-dioxa-4-azatricyclo(30.3.1.04,9)hexatriaconta-16,24,26,28-tetraene-2,3,10,14,20-pentaone	Everolimus
40-O-(2-hydroxyethyl)-rapamycin	Everolimus
RAD 001	Everolimus
Principal Creek Indian Nation	Principal_Creek_Indian_Nation
